,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Account,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Settlement Date
12/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (OKLO) OKLO INC COM CL A JAN 30 26 $55 (100 SHS) (Margin),-OKLO260130P55,PUT (OKLO) OKLO INC COM CL A JAN 30 26 $55 (100 SHS),Margin,0,,USD,1.21,1,0,0.65,0.01,,-121.66,01/02/2026
12/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (OKLO) OKLO INC COM CL A JAN 30 26 $65 (100 SHS) (Margin),-OKLO260130P65,PUT (OKLO) OKLO INC COM CL A JAN 30 26 $65 (100 SHS),Margin,0,,USD,3.87,-1,0,0.65,0.01,,386.34,01/02/2026
12/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (NFLX) NETFLIX INC JAN 30 26 $83 (100 SHS) (Margin),-NFLX260130P83,PUT (NFLX) NETFLIX INC JAN 30 26 $83 (100 SHS),Margin,0,,USD,0.86,1,0,0.65,0.01,,-86.66,01/02/2026
12/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (NFLX) NETFLIX INC JAN 30 26 $83 (100 SHS) (Margin),-NFLX260130P83,PUT (NFLX) NETFLIX INC JAN 30 26 $83 (100 SHS),Margin,0,,USD,0.87,1,0,0.65,0.01,,-87.66,01/02/2026
12/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (NFLX) NETFLIX INC JAN 30 26 $96 (100 SHS) (Margin),-NFLX260130P96,PUT (NFLX) NETFLIX INC JAN 30 26 $96 (100 SHS),Margin,0,,USD,5.51,-1,0,0.65,0.01,,550.34,01/02/2026
12/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $840 (100 SHS) (Margin),-GS260130P840,PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $840 (100 SHS),Margin,0,,USD,12,-1,0,0.65,0.01,,1199.34,01/02/2026
12/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $825 (100 SHS) (Margin),-GS260130P825,PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $825 (100 SHS),Margin,0,,USD,8.61,1,0,0.65,0.01,,-861.66,01/02/2026
12/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (NFLX) NETFLIX INC JAN 23 26 $97 (100 SHS) (Margin),-NFLX260123P97,PUT (NFLX) NETFLIX INC JAN 23 26 $97 (100 SHS),Margin,0,,USD,5.78,-1,0,0.65,0.01,,577.34,01/02/2026
12/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (MSFT) MICROSOFT CORP JAN 09 26 $460 (100 SHS) (Margin),-MSFT260109P460,PUT (MSFT) MICROSOFT CORP JAN 09 26 $460 (100 SHS),Margin,0,,USD,0.51,1,0,,0.01,,-51.01,01/02/2026
12/31/2025,Individual,YOU SOLD CLOSING TRANSACTION PUT (MSFT) MICROSOFT CORP JAN 09 26 $450 (100 SHS) (Margin),-MSFT260109P450,PUT (MSFT) MICROSOFT CORP JAN 09 26 $450 (100 SHS),Margin,0,,USD,0.28,-1,0,0.65,0.01,,27.34,01/02/2026
12/31/2025,Individual,YOU SOLD CLOSING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 09 26 $845 (100 SHS) (Margin),-GS260109P845,PUT (GS) GOLDMAN SACHS GROUP JAN 09 26 $845 (100 SHS),Margin,0,,USD,2.39,-1,0,0.65,0.01,,238.34,01/02/2026
12/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 09 26 $855 (100 SHS) (Margin),-GS260109P855,PUT (GS) GOLDMAN SACHS GROUP JAN 09 26 $855 (100 SHS),Margin,0,,USD,3.83,1,0,0.65,0.01,,-383.66,01/02/2026
12/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (COST) COSTCO WHOLESALE FEB 20 26 $835 (100 SHS) (Margin),-COST260220P835,PUT (COST) COSTCO WHOLESALE FEB 20 26 $835 (100 SHS),Margin,0,,USD,11.5,1,0,0.65,0.01,,-1150.66,01/02/2026
12/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (COST) COSTCO WHOLESALE FEB 20 26 $850 (100 SHS) (Margin),-COST260220P850,PUT (COST) COSTCO WHOLESALE FEB 20 26 $850 (100 SHS),Margin,0,,USD,16.55,-1,0,0.65,0.01,,1654.34,01/02/2026
12/31/2025,Rollover IRA,YOU SOLD OPENING TRANSACTION PUT (AVGO) BROADCOM INC COM JAN 30 26 $305 (100 SHS) (Margin),-AVGO260130P305,PUT (AVGO) BROADCOM INC COM JAN 30 26 $305 (100 SHS),Margin,0,,USD,2.86,-1,0,0.65,0.01,,285.34,01/02/2026
12/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (NFLX) NETFLIX INC JAN 16 26 $99 (100 SHS) (Margin),-NFLX260116P99,PUT (NFLX) NETFLIX INC JAN 16 26 $99 (100 SHS),Margin,0,,USD,5.32,1,0,0.65,0.01,,-532.66,01/02/2026
12/31/2025,ROTH IRA,YOU SOLD OPENING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $840 (100 SHS) (Margin),-GS260130P840,PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $840 (100 SHS),Margin,0,,USD,11.79,-1,0,0.65,0.01,,1178.34,01/02/2026
12/31/2025,Rollover IRA,YOU BOUGHT OPENING TRANSACTION PUT (AVGO) BROADCOM INC COM JAN 30 26 $295 (100 SHS) (Margin),-AVGO260130P295,PUT (AVGO) BROADCOM INC COM JAN 30 26 $295 (100 SHS),Margin,0,,USD,1.78,1,0,0.65,0.01,,-178.66,01/02/2026
12/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (NFLX) NETFLIX INC JAN 16 26 $98 (100 SHS) (Margin),-NFLX260116P98,PUT (NFLX) NETFLIX INC JAN 16 26 $98 (100 SHS),Margin,0,,USD,4.58,1,0,0.65,0.01,,-458.66,01/02/2026
12/31/2025,ROTH IRA,YOU BOUGHT OPENING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $825 (100 SHS) (Margin),-GS260130P825,PUT (GS) GOLDMAN SACHS GROUP JAN 30 26 $825 (100 SHS),Margin,0,,USD,8.32,1,0,0.65,0.01,,-832.66,01/02/2026
