,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Account,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Settlement Date
03/31/2026,Individual,ASSIGNED as of Mar-30-2026 PUT (BA) BOEING CO APR 10 26 $220 (100 SHS) (Margin),-BA260410P220,PUT (BA) BOEING CO APR 10 26 $220 (100 SHS),Margin,0,,USD,,1,0,,,,0,
03/31/2026,Individual,YOU SOLD OPENING TRANSACTION PUT (MSFT) MICROSOFT CORP MAY 08 26 $375 (100 SHS) (Margin),-MSFT260508P375,PUT (MSFT) MICROSOFT CORP MAY 08 26 $375 (100 SHS),Margin,0,,USD,19.37,-1,0,0.65,0.02,,1936.33,04/01/2026
03/31/2026,Individual,YOU BOUGHT OPENING TRANSACTION PUT (MSFT) MICROSOFT CORP MAY 08 26 $365 (100 SHS) (Margin),-MSFT260508P365,PUT (MSFT) MICROSOFT CORP MAY 08 26 $365 (100 SHS),Margin,0,,USD,14.59,1,0,0.65,0.02,,-1459.67,04/01/2026
03/31/2026,Individual,YOU BOUGHT CLOSING TRANSACTION CALL (GOOGL) ALPHABET INC CAP STK APR 17 26 $292.5 (100 SHS) (Margin),-GOOGL260417C292.5,CALL (GOOGL) ALPHABET INC CAP STK APR 17 26 $292.5 (100 SHS),Margin,0,,USD,5.39,1,0,0.65,0.02,,-539.67,04/01/2026
03/31/2026,Individual,YOU BOUGHT OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 MAY 15 26 $238 (100 SHS) (Margin),-IWM260515P238,PUT (IWM) ISHARES RUSSELL 2000 MAY 15 26 $238 (100 SHS),Margin,0,,USD,7.6,1,0,0.65,0.02,,-760.67,04/01/2026
03/31/2026,Individual,YOU BOUGHT OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 MAY 15 26 $237 (100 SHS) (Margin),-IWM260515P237,PUT (IWM) ISHARES RUSSELL 2000 MAY 15 26 $237 (100 SHS),Margin,0,,USD,7.59,1,0,0.65,0.02,,-759.67,04/01/2026
03/31/2026,Individual,YOU SOLD CLOSING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $239 (100 SHS) (Margin),-IWM260424P239,PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $239 (100 SHS),Margin,0,,USD,5.7,-1,0,0.65,0.02,,569.33,04/01/2026
03/31/2026,Individual,YOU SOLD CLOSING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $239 (100 SHS) (Margin),-IWM260424P239,PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $239 (100 SHS),Margin,0,,USD,6,-1,0,0.65,0.02,,599.33,04/01/2026
03/31/2026,Individual,YOU SOLD CLOSING TRANSACTION PUT (MSFT) MICROSOFT CORP APR 24 26 $365 (100 SHS) (Margin),-MSFT260424P365,PUT (MSFT) MICROSOFT CORP APR 24 26 $365 (100 SHS),Margin,0,,USD,9.03,-1,0,0.65,0.02,,902.33,04/01/2026
03/31/2026,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (MSFT) MICROSOFT CORP APR 24 26 $375 (100 SHS) (Margin),-MSFT260424P375,PUT (MSFT) MICROSOFT CORP APR 24 26 $375 (100 SHS),Margin,0,,USD,13.89,1,0,0.65,0.02,,-1389.67,04/01/2026
03/31/2026,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $248 (100 SHS) (Margin),-IWM260424P248,PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $248 (100 SHS),Margin,0,,USD,9.93,1,0,0.65,0.02,,-993.67,04/01/2026
03/31/2026,Rollover IRA,YOU SOLD OPENING TRANSACTION CALL (SCHD) SCHWAB US DIVIDEND MAY 15 26 $32 (100 SHS) (Cash),-SCHD260515C32,CALL (SCHD) SCHWAB US DIVIDEND MAY 15 26 $32 (100 SHS),Cash,0,,USD,0.2,-1,0,0.65,0.02,,19.33,04/01/2026
03/31/2026,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $249 (100 SHS) (Margin),-IWM260424P249,PUT (IWM) ISHARES RUSSELL 2000 APR 24 26 $249 (100 SHS),Margin,0,,USD,10,1,0,0.65,0.02,,-1000.67,04/01/2026
03/31/2026,Rollover IRA,YOU SOLD CLOSING TRANSACTION PUT (MU) MICRON TECHNOLOGY APR 24 26 $305 (100 SHS) (Margin),-MU260424P305,PUT (MU) MICRON TECHNOLOGY APR 24 26 $305 (100 SHS),Margin,0,,USD,10.87,-1,0,0.65,0.02,,1086.33,04/01/2026
03/31/2026,Individual,YOU SOLD CLOSING TRANSACTION PUT (GS) GOLDMAN SACHS GROUP APR 10 26 $835 (100 SHS) (Margin),-GS260410P835,PUT (GS) GOLDMAN SACHS GROUP APR 10 26 $835 (100 SHS),Margin,0,,USD,28.13,-1,0,0.65,0.02,,2812.33,04/01/2026
03/31/2026,Rollover IRA,YOU BOUGHT CLOSING TRANSACTION PUT (MU) MICRON TECHNOLOGY APR 24 26 $315 (100 SHS) (Margin),-MU260424P315,PUT (MU) MICRON TECHNOLOGY APR 24 26 $315 (100 SHS),Margin,0,,USD,14.41,1,0,0.65,0.02,,-1441.67,04/01/2026
