run_date,account,action,symbol,description,type,exchange_quantity,exchange_currency,currency,price,quantity,exchange_rate,commission,fees,accrued_interest,amount,settlement_date
2025-03-31,Account_A,EXPIRED PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 as of Mar-28-2025 PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 (100 SHS) (Margin),-NVDA250328P94,PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 (100 SHS),Margin,0.0,,USD,,-1.0,0.0,,,,0.0,
2025-03-31,Account_A,YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR MAY 02 25 $82 (100 SHS) (Margin),-PLTR250502P82,PUT (PLTR) PALANTIR MAY 02 25 $82 (100 SHS),Margin,0.0,,USD,6.71,-1.0,0.0,0.65,0.05,,670.3,2025-04-01
2025-03-31,Account_A,YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR APR 25 25 $74 (100 SHS) (Margin),-PLTR250425P74,PUT (PLTR) PALANTIR APR 25 25 $74 (100 SHS),Margin,0.0,,USD,2.87,-1.0,0.0,0.65,0.03,,286.32,2025-04-01
2025-03-31,Account_A,YOU SOLD CLOSING TRANSACTION PUT (PLTR) PALANTIR APR 11 25 $64 (100 SHS) (Margin),-PLTR250411P64,PUT (PLTR) PALANTIR APR 11 25 $64 (100 SHS),Margin,0.0,,USD,0.43,-1.0,0.0,0.65,0.03,,42.32,2025-04-01
2025-03-31,Account_A,YOU BOUGHT CLOSING TRANSACTION PUT (PLTR) PALANTIR APR 11 25 $74 (100 SHS) (Margin),-PLTR250411P74,PUT (PLTR) PALANTIR APR 11 25 $74 (100 SHS),Margin,0.0,,USD,1.67,1.0,0.0,0.65,0.03,,-167.68,2025-04-01
2025-01-13,Account_A,ASSIGNED as of Jan-10-2025 PUT (PLTR) PALANTIR JAN 10 25 $68 (100 SHS) (Cash),-PLTR250110P68,PUT (PLTR) PALANTIR JAN 10 25 $68 (100 SHS),Cash,0.0,,USD,,1.0,0.0,,,,0.0,
2025-06-30,Account_A,"EXPIRED PUT (MARA) MARA HOLDINGS, INC. JUN 27 25 $14 as of Jun-27-2025 PUT (MARA) MARA HOLDINGS, INC. JUN 27 25 $14 (100 SHS) (Margin)",-MARA250627P14,"PUT (MARA) MARA HOLDINGS, INC. JUN 27 25 $14 (100 SHS)",Margin,0.0,,USD,,4.0,0.0,,,,0.0,
2025-06-30,Account_A,YOU SOLD OPENING TRANSACTION PUT (HIMS) HIMS &HERS HEALTH JUL 25 25 $42 (100 SHS) (Margin),-HIMS250725P42,PUT (HIMS) HIMS &HERS HEALTH JUL 25 25 $42 (100 SHS),Margin,0.0,,USD,1.76,-1.0,0.0,0.65,0.03,,175.32,2025-07-01
2025-06-30,Account_A,"YOU BOUGHT CLOSING TRANSACTION PUT (MARA) MARA HOLDINGS, INC. JUL 03 25 $13.5 (100 SHS) (Margin)",-MARA250703P13.5,"PUT (MARA) MARA HOLDINGS, INC. JUL 03 25 $13.5 (100 SHS)",Margin,0.0,,USD,0.03,1.0,0.0,,0.03,,-3.03,2025-07-01
2025-06-30,Account_A,YOU BOUGHT CLOSING TRANSACTION PUT (HIMS) HIMS &HERS HEALTH JUL 18 25 $42 (100 SHS) (Margin),-HIMS250718P42,PUT (HIMS) HIMS &HERS HEALTH JUL 18 25 $42 (100 SHS),Margin,0.0,,USD,1.21,1.0,0.0,0.65,0.03,,-121.68,2025-07-01
2025-06-30,Account_C,YOU SOLD OPENING TRANSACTION PUT (HIMS) HIMS &HERS HEALTH JUL 25 25 $38 (100 SHS) (Cash),-HIMS250725P38,PUT (HIMS) HIMS &HERS HEALTH JUL 25 25 $38 (100 SHS),Cash,0.0,,USD,0.92,-1.0,0.0,0.65,0.03,,91.32,2025-07-01
2025-06-23,Account_A,EXPIRED PUT (SCHD) SCHWAB US DIVIDEND JUN 20 25 $25.5 as of Jun-20-2025 PUT (SCHD) SCHWAB US DIVIDEND JUN 20 25 $25.5 (100 SHS) (Margin),-SCHD250620P25.5,PUT (SCHD) SCHWAB US DIVIDEND JUN 20 25 $25.5 (100 SHS),Margin,0.0,,USD,,1.0,0.0,,,,0.0,
2025-09-30,Account_A,YOU SOLD CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $157.5 (100 SHS) (Margin),-NVDA251003P157.5,PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $157.5 (100 SHS),Margin,0.0,,USD,0.03,-1.0,0.0,0.15,0.02,,2.83,2025-10-01
2025-09-30,Account_A,YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $167.5 (100 SHS) (Margin),-NVDA251003P167.5,PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $167.5 (100 SHS),Margin,0.0,,USD,0.09,1.0,0.0,,0.02,,-9.02,2025-10-01
2025-09-30,Account_A,YOU BOUGHT OPENING TRANSACTION PUT (XYZ) BLOCK INC CL A OCT 24 25 $55 (100 SHS) (Margin),-XYZ251024P55,PUT (XYZ) BLOCK INC CL A OCT 24 25 $55 (100 SHS),Margin,0.0,,USD,0.17,1.0,0.0,0.65,0.02,,-17.67,2025-10-01
